,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
287,287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
304,304,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
321,321,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
324,324,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
328,328,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,1.47,0,0.32,3.76
330,330,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
344,344,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,0.97,0,0.35,3.65
406,406,Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
413,413,Wii Music,Wii,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
432,432,LEGO Batman: The Videogame,Wii,,Action,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
461,461,Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,2.06,0.64,0.12,0.22,3.04
491,491,WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
492,492,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.43,1.13,0.05,0.3,2.91
502,502,Zumba Fitness 2,Wii,2011,Sports,Majesco Entertainment,1.54,1.07,0,0.28,2.88
513,513,Skylanders: Spyro's Adventure,Wii,2011,Action,Activision,1.4,1.14,0,0.31,2.85
543,543,Sonic and the Secret Rings,Wii,2007,Platform,Sega,1.24,1.2,0.04,0.3,2.77
572,572,Skylanders Giants,Wii,2012,Action,Activision,1.56,0.88,0,0.22,2.65
582,582,Mario Strikers Charged,Wii,2007,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62
588,588,Super Mario All-Stars: Limited Edition,Wii,2010,Platform,Nintendo,1.02,0.52,0.92,0.14,2.6
606,606,Deca Sports,Wii,2008,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54
611,611,Game Party,Wii,2007,Misc,Midway Games,1.5,0.78,0,0.24,2.52
619,619,LEGO Harry Potter: Years 1-4,Wii,2010,Action,Warner Bros. Interactive Entertainment,1.29,0.97,0,0.23,2.49
628,628,uDraw Studio,Wii,2010,Misc,THQ,1.67,0.58,0,0.2,2.46
653,653,LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,1.54,0.63,0,0.22,2.39
676,677,Skylanders SWAP Force,Wii,2013,Platform,Activision,1.32,0.83,0,0.2,2.34
678,679,My Fitness Coach,Wii,2008,Sports,Ubisoft,1.2,0.9,0,0.24,2.34
683,684,Just Dance Kids,Wii,2010,Misc,Ubisoft,1.57,0.56,0,0.19,2.32
699,700,Just Dance 2015,Wii,2014,Misc,Ubisoft,1.11,0.98,0,0.2,2.28
708,709,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,Sega,1.07,0.92,0.04,0.24,2.27
712,713,Call of Duty 3,Wii,,Shooter,Activision,1.19,0.84,0,0.23,2.26
713,714,Resident Evil 4,Wii,2007,Action,Capcom,1.34,0.57,0.14,0.21,2.26
719,720,Monster Hunter Tri,Wii,2009,Role-Playing,Nintendo,0.67,0.41,1.05,0.11,2.25
739,740,Sonic Unleashed,Wii,2008,Platform,Sega,1.28,0.68,0.02,0.21,2.2
757,758,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,Ubisoft,1.51,0.47,0,0.18,2.16
774,775,Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,1.47,0.09,0.45,0.11,2.12
782,783,Mario Sports Mix,Wii,2010,Sports,Nintendo,0.9,0.45,0.63,0.13,2.11
783,784,Rock Band,Wii,,Misc,MTV Games,1.35,0.56,0,0.2,2.11
796,797,Wipeout: The Game,Wii,2009,Misc,Mindscape,1.97,0,0,0.12,2.09
803,804,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,Konami Digital Entertainment,1.36,0.52,0,0.2,2.08
832,833,Rayman Raving Rabbids: TV Party,Wii,2008,Misc,Ubisoft,0.73,1.09,0,0.23,2.04
862,863,Call of Duty: World at War,Wii,2008,Shooter,Activision,1.2,0.59,0,0.19,1.97
893,894,Mario Super Sluggers,Wii,2008,Sports,Nintendo,1.51,0,0.29,0.12,1.93
897,898,Monopoly,Wii,2008,Misc,Electronic Arts,0.87,0.85,0,0.2,1.92
902,903,Toy Story Mania!,Wii,2009,Misc,Disney Interactive Studios,1.06,0.67,0,0.18,1.92
904,905,Star Wars: The Force Unleashed,Wii,2008,Action,LucasArts,1.14,0.57,0,0.19,1.91
905,906,Game Party 2,Wii,2008,Misc,Midway Games,1.3,0.44,0,0.17,1.91
907,908,LEGO Star Wars III: The Clone Wars,Wii,2011,Action,LucasArts,1.08,0.66,0,0.17,1.91
934,935,GoldenEye 007 (2010),Wii,2010,Action,Activision,0.85,0.71,0.13,0.16,1.86
937,938,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0,0.2,1.85
956,957,Metroid Prime 3: Corruption,Wii,2007,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82
981,982,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77
1018,1019,The Beatles: Rock Band,Wii,2009,Misc,MTV Games,1.19,0.4,0,0.16,1.74
1020,1021,Sonic Colors,Wii,2010,Platform,Sega,0.96,0.61,0.01,0.16,1.74
1030,1031,Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0,0.14,1.73
1042,1043,Game Party 3,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.43,0.16,0,0.12,1.71
1049,1050,Cabela's Big Game Hunter 2010,Wii,2009,Sports,Activision Value,1.58,0,0,0.12,1.7
1052,1053,We Ski,Wii,2008,Sports,Namco Bandai Games,0.99,0.42,0.14,0.15,1.7
1054,1055,Kirby's Return to Dreamland,Wii,2011,Platform,Nintendo,0.62,0.21,0.79,0.08,1.7
1080,1081,Star Wars The Clone Wars: Lightsaber Duels,Wii,2008,Action,LucasArts,1.23,0.3,0,0.14,1.68
1081,1082,MySims,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68
1083,1084,Shaun White Snowboarding: Road Trip,Wii,2008,Sports,Ubisoft,0.94,0.57,0,0.17,1.67
1085,1086,Big Beach Sports,Wii,2008,Sports,THQ,0.45,1.02,0,0.2,1.67
1110,1111,Go Vacation,Wii,2011,Misc,Namco Bandai Games,0.48,0.68,0.33,0.16,1.65
1115,1116,LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0,0.16,1.64
1140,1141,Pokemon Battle Revolution,Wii,2006,Role-Playing,Nintendo,0.8,0.38,0.3,0.13,1.61
1149,1150,Dance Dance Revolution: Hottest Party 2,Wii,2008,Simulation,Konami Digital Entertainment,0.95,0.48,0.01,0.15,1.6
1170,1171,Carnival Games: Mini Golf,Wii,2008,Sports,Take-Two Interactive,0.87,0.56,0,0.15,1.58
1175,1176,Guitar Hero 5,Wii,2009,Misc,Activision,0.94,0.49,0,0.15,1.58
1199,1200,Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.55
1210,1211,Resident Evil: The Umbrella Chronicles,Wii,2007,Action,Capcom,0.68,0.43,0.29,0.14,1.54
1220,1221,MySims Kingdom,Wii,2008,Simulation,Electronic Arts,0.71,0.65,0.01,0.17,1.53
1224,1225,Call of Duty: Modern Warfare: Reflex Edition,Wii,2009,Shooter,Activision,0.95,0.43,0,0.14,1.53
1243,1244,Sonic & Sega All-Stars Racing,Wii,2010,Racing,Sega,0.65,0.71,0,0.15,1.51
1267,1268,Disney Sing It: Pop Hits,Wii,2009,Misc,Disney Interactive Studios,1.08,0.28,0,0.13,1.49
1275,1276,The Sims 3,Wii,2010,Simulation,Electronic Arts,0.61,0.73,0,0.15,1.49
1276,1277,New Play Control! Mario Power Tennis,Wii,2009,Sports,Nintendo,0.37,0.69,0.28,0.14,1.48
1295,1296,The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.78,0.5,0.03,0.15,1.47
1311,1312,LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0,0.11,1.46
1323,1324,Smarty Pants,Wii,2007,Misc,Electronic Arts,0.53,0.76,0,0.16,1.45
1329,1330,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.97,0.34,0,0.13,1.45
1341,1342,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44
1348,1349,LEGO Indiana Jones 2: The Adventure Continues,Wii,2009,Action,Activision,0.91,0.39,0,0.13,1.43
1350,1351,Tiger Woods PGA Tour 09 All-Play,Wii,2008,Sports,Electronic Arts,0.81,0.48,0,0.14,1.43
1368,1369,Toy Story 3: The Video Game,Wii,2010,Action,Disney Interactive Studios,0.64,0.63,0,0.14,1.41
1375,1376,Metroid: Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1,1.41
1380,1381,Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.82,0.47,0,0.12,1.4
1397,1398,Hannah Montana: Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0,0.13,1.39
1408,1409,Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.71,0.53,0,0.13,1.38
1409,1410,Disney Princess: Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.24,0.04,0,0.09,1.38
1434,1435,LEGO Harry Potter: Years 5-7,Wii,,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0,0.13,1.36
1505,1506,Deal or No Deal,Wii,2009,Misc,Zoo Games,1.22,0,0,0.09,1.31
1511,1512,High School Musical 3: Senior Year DANCE!,Wii,2008,Misc,Disney Interactive Studios,0.68,0.49,0,0.13,1.31
1512,1513,Gold's Gym: Cardio Workout,Wii,2008,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
1520,1521,EA Playground,Wii,2007,Sports,Electronic Arts,0.69,0.48,0,0.13,1.3
1523,1524,EA Sports Active 2,Wii,2010,Sports,Electronic Arts,0.78,0.4,0,0.11,1.3
1526,1527,Need for Speed Carbon,Wii,2006,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29
1535,1536,Guitar Hero: Aerosmith,Wii,2008,Misc,Activision,1.04,0.14,0,0.1,1.29
1563,1564,Jillian Michaels' Fitness Ultimatum 2009,Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27
1565,1566,Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.73,0,0.15,1.27
1582,1583,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0,0.12,1.26
1611,1612,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.55,0.55,0,0.13,1.23
1630,1631,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.72,0.38,0,0.12,1.23
1632,1633,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
1671,1672,Just Dance 2016,Wii,2015,Misc,Ubisoft,0.52,0.59,0,0.1,1.2
1672,1673,Disney Sing It,Wii,2008,Misc,Disney Interactive Studios,0.77,0.31,0,0.12,1.2
1683,1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2
1691,1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
1724,1725,Wario Land: Shake It!,Wii,2008,Platform,Nintendo,0.6,0.31,0.15,0.11,1.17
1741,1742,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16
1769,1770,Sonic and the Black Knight,Wii,2009,Platform,Sega,0.69,0.35,0.01,0.11,1.15
1790,1791,Rabbids Go Home,Wii,2009,Platform,Ubisoft,0.26,0.75,0,0.14,1.14
1843,1844,Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.54,0.46,0,0.12,1.11
1863,1864,NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.92,0.09,0,0.09,1.1
1885,1886,Tiger Woods PGA Tour 10,Wii,2009,Sports,Electronic Arts,0.61,0.37,0,0.11,1.09
1891,1892,Endless Ocean,Wii,2007,Adventure,Nintendo,0.44,0.47,0.09,0.09,1.09
1898,1899,The Biggest Loser,Wii,2009,Sports,THQ,0.87,0.12,0,0.09,1.08
1901,1902,Resident Evil: The Darkside Chronicles,Wii,2009,Action,Capcom,0.48,0.32,0.2,0.09,1.08
1904,1905,FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.26,0.69,0,0.12,1.08
1934,1935,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
1947,1948,Sega Superstars Tennis,Wii,2008,Sports,Sega,0.28,0.65,0,0.13,1.06
1968,1969,Skylanders: Trap Team,Wii,2014,Action,Activision,0.42,0.54,0,0.08,1.05
1971,1972,Dance on Broadway,Wii,2010,Misc,Ubisoft,0.27,0.66,0,0.12,1.05
1985,1986,MySims Agents,Wii,2009,Adventure,Electronic Arts,0.62,0.32,0,0.1,1.05
1989,1990,Guinness World Records: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.04
1992,1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
2016,2017,Tiger Woods PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.94,0.02,0,0.08,1.03
2018,2019,Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0,0.08,1.03
2022,2023,The Simpsons Game,Wii,2007,Action,Electronic Arts,0.45,0.47,0,0.11,1.03
2024,2025,Rock Band 2,Wii,2008,Misc,MTV Games,0.94,0.01,0,0.08,1.03
2027,2028,FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02
2028,2029,Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.45,0.46,0,0.11,1.02
2035,2036,Wall-E,Wii,2008,Platform,THQ,0.51,0.4,0,0.11,1.02
2049,2050,Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.48,0.44,0,0.09,1.01
2055,2056,NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0,0,0.07,1
2077,2078,Wheel of Fortune,Wii,2010,Misc,THQ,0.89,0.04,0,0.06,1
2092,2093,Band Hero,Wii,2009,Misc,Activision,0.6,0.3,0,0.09,0.99
2093,2094,Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.3,0,0.09,0.99
2096,2097,Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.88,0.05,0,0.07,0.99
2100,2101,WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.99
2101,2102,FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.65,0,0.11,0.99
2108,2109,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.49,0.26,0.16,0.08,0.98
2130,2131,de Blob,Wii,2008,Platform,THQ,0.5,0.37,0,0.1,0.97
2137,2138,Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.56,0.33,0,0.08,0.97
2142,2143,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0,0.08,0.97
2155,2156,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96
2181,2182,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0,0.1,0.95
2188,2189,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0,0.1,0.95
2192,2193,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0,0.08,0.95
2194,2195,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95
2202,2203,Cars,Wii,2006,Racing,THQ,0.83,0.04,0,0.07,0.94
2221,2222,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0,0.06,0.93
2226,2227,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93
2229,2230,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.93
2258,2259,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0,0.09,0.92
2275,2276,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91
2296,2297,Rhythm Heaven,Wii,,Misc,Unknown,0.13,0,0.77,0.01,0.9
2302,2303,We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9
2315,2316,Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9
2318,2319,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0,0.09,0.9
2328,2329,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0,0.07,0.89
2339,2340,CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89
2341,2342,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0,0.11,0.89
2347,2348,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0,0.01,0.07,0.89
2351,2352,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0,0.08,0.89
2361,2362,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0,0.08,0.88
2366,2367,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.47,0.22,0.12,0.07,0.88
2370,2371,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.28,0.01,0.08,0.88
2381,2382,Gold's Gym: Dance Workout,Wii,2010,Sports,Ubisoft,0.71,0.11,0,0.06,0.87
2387,2388,Pictionary,Wii,2010,Puzzle,THQ,0.61,0.19,0,0.07,0.87
2392,2393,The House of the Dead: Overkill,Wii,2009,Shooter,Sega,0.46,0.31,0.02,0.09,0.87
2411,2412,Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.63,0,0.11,0.86
2432,2433,Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,0.46,0.31,0,0.08,0.85
2433,2434,Madden NFL 09 All-Play,Wii,2008,Sports,Electronic Arts,0.78,0.01,0,0.07,0.85
2439,2440,Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,Ubisoft,0.74,0.04,0,0.06,0.85
2451,2452,Karaoke Revolution Glee,Wii,2010,Misc,Konami Digital Entertainment,0.52,0.25,0,0.07,0.85
2466,2467,Harvest Moon: Tree of Tranquility,Wii,2007,Simulation,Rising Star Games,0.69,0.03,0.06,0.06,0.84
2481,2482,WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,THQ,0.44,0.31,0,0.08,0.83
2496,2497,The Price is Right,Wii,2008,Misc,Ubisoft,0.77,0,0,0.06,0.83
2504,2505,Deca Sports 2,Wii,2009,Sports,Hudson Soft,0.33,0.34,0.09,0.07,0.82
2510,2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,LucasArts,0.44,0.3,0,0.08,0.82
2523,2524,Hasbro Family Game Night 3,Wii,2010,Misc,Electronic Arts,0.47,0.28,0,0.07,0.82
2540,2541,EA Sports Active NFL Training Camp,Wii,2010,Sports,Electronic Arts,0.77,0,0,0.05,0.81
2557,2558,Ben 10: Alien Force,Wii,2008,Action,Koch Media,0.52,0.21,0,0.07,0.81
2563,2564,MadWorld,Wii,2009,Action,Sega,0.46,0.25,0.02,0.07,0.8
2568,2569,ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.19,0.5,0,0.11,0.8
2579,2580,All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0,0.08,0.8
2589,2590,Star Wars: The Force Unleashed II,Wii,2010,Action,LucasArts,0.54,0.19,0,0.06,0.8
2616,2617,Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.79
2620,2621,FIFA 12,Wii,2011,Sports,Electronic Arts,0.16,0.52,0,0.11,0.79
2627,2628,PokePark 2: Wonders Beyond,Wii,2011,Action,Nintendo,0.27,0.2,0.27,0.05,0.79
2639,2640,We Sing,Wii,2009,Misc,Nordic Games,0,0.69,0,0.09,0.78
2658,2659,Harry Potter and the Half-Blood Prince,Wii,2009,Action,Electronic Arts,0.28,0.4,0,0.09,0.77
2659,2660,DJ Hero,Wii,2009,Misc,Activision,0.47,0.23,0,0.07,0.77
2690,2691,Raving Rabbids: Travel in Time,Wii,2010,Adventure,Ubisoft,0.22,0.47,0,0.08,0.76
2703,2704,Drawn to Life: The Next Chapter,Wii,2009,Puzzle,THQ,0.29,0.39,0,0.08,0.76
2711,2712,Deer Drive,Wii,2009,Sports,Big Ben Interactive,0.67,0.04,0,0.05,0.76
2717,2718,FIFA 15,Wii,2014,Sports,Electronic Arts,0.24,0.46,0,0.06,0.76
2725,2726,Monopoly Streets,Wii,2010,Misc,Electronic Arts,0.24,0.44,0,0.08,0.76
2727,2728,Harvest Moon: Animal Parade,Wii,2008,Simulation,Rising Star Games,0.6,0.09,0.02,0.05,0.76
2739,2740,WWE SmackDown vs. Raw 2010,Wii,2009,Fighting,THQ,0.51,0.17,0,0.07,0.75
2777,2778,Madden NFL 11,Wii,,Sports,Unknown,0.7,0,0,0.05,0.74
2778,2779,Namco Museum Remix,Wii,2007,Misc,Atari,0.68,0,0,0.05,0.74
2783,2784,Indiana Jones and the Staff of Kings,Wii,2009,Action,Activision,0.36,0.3,0,0.08,0.74
2802,2803,Madden NFL 10,Wii,2009,Sports,Electronic Arts,0.63,0.04,0,0.06,0.73
2813,2814,Just Dance Wii,Wii,2011,Misc,Nintendo,0,0,0.73,0,0.73
2818,2819,Avatar: The Game,Wii,2009,Action,Ubisoft,0.33,0.32,0,0.08,0.73
2829,2830,FIFA Soccer 13,Wii,2012,Action,Electronic Arts,0.19,0.46,0,0.08,0.72
2860,2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71
2878,2879,LEGO Rock Band,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.42,0.22,0,0.07,0.71
2946,2947,Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.47,0.17,0,0.05,0.69
2974,2975,Kirby's Dream Collection: Special Edition,Wii,2012,Action,Nintendo,0.34,0,0.33,0.02,0.68
2975,2976,Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.6,0.03,0,0.05,0.68
2977,2978,The Last Story,Wii,2011,Role-Playing,Nintendo,0.32,0.13,0.18,0.04,0.68
2999,3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
3004,3005,Country Dance,Wii,2011,Misc,Funbox Media,0.59,0.04,0,0.04,0.68
3020,3021,The Biggest Loser: Challenge,Wii,2010,Sports,THQ,0.49,0.13,0,0.05,0.67
3025,3026,Need For Speed: Undercover,Wii,2008,Racing,Electronic Arts,0.27,0.32,0,0.07,0.67
3026,3027,Taiko no Tatsujin Wii,Wii,2008,Misc,Namco Bandai Games,0,0,0.67,0,0.67
3033,3034,Summer Sports: Paradise Island (Others sales),Wii,2008,Sports,Ubisoft,0,0.66,0,0.01,0.67
3037,3038,TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0,0.08,0.67
3039,3040,007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07,0.67
3040,3041,Rock Band 3,Wii,2010,Misc,MTV Games,0.56,0.06,0,0.05,0.67
3067,3068,Puzzler Brain Games,Wii,2012,Puzzle,Namco Bandai Games,0,0,0.66,0,0.66
3082,3083,New Play Control! Pikmin,Wii,2008,Strategy,Nintendo,0.29,0.14,0.19,0.04,0.66
3108,3109,Real Heroes: Firefighter,Wii,2009,Action,Rondomedia,0.56,0.04,0,0.05,0.65
3125,3126,Disney Sing It: Party Hits,Wii,2010,Misc,Disney Interactive Studios,0.5,0.11,0,0.05,0.65
3130,3131,The Black Eyed Peas Experience,Wii,2011,Misc,Ubisoft,0.39,0.2,0,0.06,0.65
3179,3180,Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64
